trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
1,open,2024-07-28 15:45:00,0,67856.90319999993,67746.80124999993,buy,-44.012470461879275,-47.940794434080466,buy,49.57215489224889,neutral,300.0
1,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,308.6951375852045
2,open,2024-07-28 15:50:00,0,67851.70319999993,67743.91929999994,buy,-45.63245967874536,-47.47912748301344,buy,42.45192130089929,neutral,308.6951375852045
2,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,315.9893480237538
3,open,2024-07-28 16:00:00,0,67842.02339999993,67739.49699999993,buy,-47.365333457972156,-47.47235354256253,buy,42.87536220042204,neutral,315.9893480237538
3,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,323.4560091224818
4,open,2024-07-28 16:05:00,0,67839.04799999994,67737.03314999993,buy,-44.48593551872182,-46.875069937794386,buy,45.373447795337675,neutral,323.4560091224818
4,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,330.8357814879331
5,open,2024-07-28 16:10:00,0,67836.34599999995,67734.60764999993,buy,-45.41807746923587,-46.58367144408268,buy,42.008153562650904,neutral,330.8357814879331
5,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,338.8422029347568
6,open,2024-07-28 16:15:00,0,67835.86339999994,67732.75644999994,buy,-37.57621629121422,-44.78218041350899,buy,50.60792688276259,neutral,338.8422029347568
6,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,348.8674321379324
7,open,2024-07-28 16:20:00,0,67833.66339999995,67730.80639999994,buy,-35.46175278944429,-42.91809488869605,buy,46.49826980212761,neutral,348.8674321379324
7,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,356.8397998064014
8,open,2024-07-28 16:25:00,0,67831.09239999995,67728.75364999994,buy,-35.039517820376204,-41.342379475032075,buy,45.050125731757504,neutral,356.8397998064014
8,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,365.2134674962773
9,open,2024-07-28 16:30:00,0,67827.83239999994,67727.11869999995,buy,-30.037601330986945,-39.081423846223046,buy,49.46867201341311,neutral,365.2134674962773
9,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,376.2692642122567
