trade_number,position_type,open_time,duration,sma_short_value,sma_short_signal,macd_value,macd_signal,rsi_value,rsi_signal
1,open,2024-06-03 14:00:00,,68118.0828,sell,404.5523537175759,buy,72.29445486047197,sell
1,close,2024-06-03 16:00:00,,68130.98240000001,sell,410.5602452587045,buy,64.15467418975912,neutral
2,open,2024-06-04 04:00:00,,68185.5602,sell,304.15067971870303,sell,55.088814703264276,neutral
2,close,2024-06-04 08:00:00,,68200.6206,sell,239.08623156687827,sell,50.26073280180496,neutral
3,open,2024-06-04 06:00:00,,68195.11660000001,sell,282.70190386273316,sell,56.01994725758866,neutral
3,close,2024-06-04 08:00:00,,68200.6206,sell,239.08623156687827,sell,50.26073280180496,neutral
4,open,2024-06-04 08:00:00,,68200.6206,sell,239.08623156687827,sell,50.26073280180496,neutral
4,close,2024-06-04 10:00:00,,68216.23779999999,sell,221.16995006367506,sell,54.32916758824421,neutral
5,open,2024-06-04 10:00:00,,68216.23779999999,sell,221.16995006367506,sell,54.32916758824421,neutral
5,close,2024-06-04 12:00:00,,68247.79759999999,sell,250.253319825395,sell,62.312179686900585,neutral
6,open,2024-06-04 12:00:00,,68247.79759999999,sell,250.253319825395,sell,62.312179686900585,neutral
6,close,2024-06-04 14:00:00,,68289.703,sell,343.33934092274285,buy,71.04736926674758,sell
7,open,2024-06-04 14:00:00,,68289.703,sell,343.33934092274285,buy,71.04736926674758,sell
7,close,2024-06-04 20:00:00,,68469.1212,sell,513.346563110943,buy,70.87903880162494,sell
8,open,2024-06-04 16:00:00,,68339.4162,sell,421.850162683666,buy,71.95575973110212,sell
8,close,2024-06-05,,68594.68579999999,sell,585.1449702607497,buy,72.98918731540908,sell
